Value,Category
30.124310853991073,Sky
47.80328112162488,Sky
53.57112571511746,Sky
64.77894044741517,Blackwhole
44.81729781726352,Blackwhole
41.91506397106812,Surfae
44.982429564154636,Blackwhole
59.15402117702074,Blackwhole
53.287511096596845,Surfae
44.70239796232961,Blackwhole
55.13267433113356,Sky
50.9707754934804,Sky
59.68644990532889,Surfae
42.979469061226474,Surfae
46.723378534022316,Surfae
46.078918468678424,Sky
35.364850518678814,Blackwhole
52.96120277064576,Sky
52.610552721798896,Surfae
50.05113456642461,Blackwhole
47.654128666248525,Blackwhole
35.84629257949586,Sky
45.79354677234641,Surfae
46.572854834732304,Sky
41.977227307783814,Blackwhole
48.387142883339905,Sky
54.040508568145384,Sky
68.8618590121053,Surfae
51.74577812831839,Surfae
52.57550390722764,Blackwhole
49.25554084233833,Sky
30.812287847009586,Sky
49.73486124550783,Sky
50.60230209941027,Blackwhole
74.63242112485287,Blackwhole
48.076390352188774,Surfae
53.015473423336125,Surfae
49.65288230294757,Surfae
38.31321962380468,Sky
61.42822814515021,Sky
57.51933032686774,Surfae
57.910319470430466,Sky
40.90612545205261,Surfae
64.02794310936099,Blackwhole
35.98148937207719,Surfae
55.868570938002705,Blackwhole
71.90455625809979,Sky
40.09463674869312,Surfae
44.33702270397228,Sky
50.99651365087641,Blackwhole
44.96524345883801,Blackwhole
34.493365689338674,Blackwhole
50.68562974806027,Sky
39.37696286273895,Sky
54.73592430635182,Sky
40.805757657661964,Sky
65.4993440501754,Blackwhole
42.16746707663763,Blackwhole
46.77938483794325,Surfae
58.135172173696695,Surfae
37.69135683566045,Sky
52.27459934604129,Blackwhole
63.07142754282428,Blackwhole
33.92516765438772,Blackwhole
51.84633858532304,Surfae
52.598827942484235,Surfae
57.8182287177731,Blackwhole
37.63049289121918,Blackwhole
36.795433869157236,Blackwhole
55.21941565616898,Surfae
52.96984673233186,Blackwhole
52.504928503458764,Blackwhole
53.46448209496976,Sky
43.19975278421509,Sky
52.322536971610035,Surfae
52.93072473298681,Blackwhole
42.85648581973632,Blackwhole
68.65774511144757,Sky
54.73832920911788,Surfae
38.08696502797351,Sky
56.5655360863383,Sky
40.253183297726785,Sky
57.87084603742452,Sky
61.58595579007404,Blackwhole
41.7931768164829,Blackwhole
59.63376129244322,Sky
54.12780926936498,Surfae
58.2206015999449,Surfae
68.96792982653947,Surfae
47.54611883997129,Surfae
42.4626383564251,Sky
41.10485570374477,Blackwhole
41.841897150345616,Surfae
49.228982905858956,Sky
53.411519748166434,Surfae
52.766907993300194,Surfae
58.27183249036024,Sky
50.13001891877907,Blackwhole
64.53534077157317,Blackwhole
47.35343166762044,Sky
77.20169166589619,Blackwhole
56.25667347765006,Sky
41.42842443583717,Sky
39.29107501938888,Sky
54.824724152431855,Blackwhole
47.76537214674149,Sky
57.14000494092092,Surfae
54.73237624573545,Blackwhole
49.271710873431275,Blackwhole
41.532062819315954,Blackwhole
34.851527753141355,Blackwhole
45.53485047932979,Surfae
58.56398794323472,Blackwhole
52.14093744130204,Blackwhole
37.54261221288012,Sky
51.73180925851182,Blackwhole
53.85317379728837,Surfae
41.16142563798867,Surfae
51.53725105945528,Surfae
50.58208718446,Surfae
38.57029702169377,Blackwhole
53.577873603482836,Blackwhole
55.60784526368234,Surfae
60.83051243175277,Surfae
60.53802052034903,Blackwhole
36.22330632042909,Surfae
40.62174960084877,Sky
55.1503526720866,Surfae
55.13785950912209,Surfae
55.150476863060476,Sky
88.5273149065472,Sky
55.70890510693167,Blackwhole
61.35565640180599,Blackwhole
59.54001763493202,Sky
56.51391251305798,Sky
46.84730755359654,Blackwhole
57.589692204932675,Surfae
42.27174785462428,Sky
47.63181393259991,Blackwhole
45.14636452170897,Surfae
50.81874139386323,Sky
73.14658566673509,Surfae
31.32734807408252,Blackwhole
56.86260190374514,Sky
33.87284128810348,Surfae
45.280681342105666,Sky
60.889505969673664,Surfae
50.64280019095463,Blackwhole
39.22255222070694,Blackwhole
42.84696290740032,Sky
56.79597748934676,Surfae
42.69633368282863,Sky
52.16458589581975,Sky
50.45571839903814,Surfae
43.48399652394183,Surfae
71.43944089325326,Surfae
56.33919022318011,Blackwhole
29.74857413342393,Sky
51.86454314769428,Sky
43.38213535231612,Blackwhole
58.52433334796224,Surfae
42.07479261567299,Blackwhole
48.85263558533101,Blackwhole
55.049872789804574,Blackwhole
58.657551941701215,Sky
37.99703592944224,Blackwhole
46.654987641590516,Sky
45.25054688839044,Sky
43.46670767426288,Sky
67.65454240281097,Surfae
54.049817109609556,Sky
37.39116045664955,Sky
59.17861947054776,Surfae
71.22156197012633,Sky
60.32465260551147,Blackwhole
34.80630034045986,Blackwhole
45.15765927133749,Sky
62.669111491866225,Surfae
42.923305343812196,Blackwhole
54.43819428146229,Surfae
57.74634053429337,Surfae
40.73069528421917,Blackwhole
49.404746439382,Surfae
17.587326599309275,Blackwhole
39.756123586657104,Surfae
47.4743184860684,Blackwhole
37.52216818035151,Sky
66.32411303931636,Blackwhole
35.69858622039367,Blackwhole
45.599555133030165,Blackwhole
51.30740577286091,Blackwhole
64.41273289066116,Surfae
35.6413784882056,Sky
61.63163752154959,Blackwhole
50.10233061019587,Surfae
40.18491348952049,Sky
54.62103474263271,Sky
51.9905969557347,Sky
43.99783122841205,Sky
50.69802084990019,Blackwhole
46.1468640313824,Blackwhole
51.13517345251248,Surfae
56.62130674521046,Surfae
65.86016816145352,Surfae
37.62184501173151,Sky
71.33033374656267,Sky
30.479122004774982,Blackwhole
48.482149049644164,Sky
55.88317206484576,Sky
52.809918677350325,Sky
43.77300480179406,Surfae
47.918777496427246,Surfae
45.06999065341167,Blackwhole
44.106352430557884,Sky
58.49602097021025,Sky
53.57015485965047,Blackwhole
43.070904047393455,Sky
58.995998754332504,Sky
53.072995208766095,Surfae
58.1286211883896,Blackwhole
56.29628841923612,Blackwhole
41.710049890779274,Blackwhole
44.39818959803031,Blackwhole
57.472936051232615,Surfae
56.10370265433465,Surfae
49.79098406035852,Sky
51.17327383308782,Sky
62.77664895788425,Sky
44.0842861116417,Sky
55.470973811700375,Surfae
47.97807347566106,Blackwhole
47.8231879677278,Surfae
60.987768519871906,Sky
58.2541634898803,Surfae
58.135096360006386,Blackwhole
63.05478807154329,Blackwhole
50.21003841632759,Surfae
56.81952971294964,Surfae
46.89733243406544,Surfae
53.24166352488442,Sky
48.698569456323156,Surfae
50.96995964992718,Surfae
55.95157025436914,Surfae
41.81779316766527,Blackwhole
70.9238727568546,Blackwhole
39.93982618500298,Sky
37.85811387212268,Sky
61.581108735000676,Blackwhole
57.91662693962936,Blackwhole
56.24119817052155,Blackwhole
56.2834550926428,Surfae
49.87753227153085,Surfae
41.02745628514168,Blackwhole
50.75804558193726,Surfae
43.22838288487888,Surfae
59.75119733417751,Sky
48.52942618497861,Blackwhole
41.745028032074885,Blackwhole
46.78614158347006,Surfae
54.12931454275625,Blackwhole
44.36275447196025,Sky
41.77779604433569,Sky
52.436872114919126,Sky
52.44966571108723,Blackwhole
44.9305682462887,Blackwhole
45.289616943816775,Blackwhole
52.32049937357636,Blackwhole
35.51915658502676,Blackwhole
35.92536225623445,Sky
42.81555778747564,Surfae
47.86552848288153,Sky
53.10907565598004,Blackwhole
64.75356216949552,Sky
58.576596232020194,Blackwhole
48.40061470036573,Blackwhole
49.80983792097311,Sky
39.97470635362191,Blackwhole
49.8148686400761,Surfae
47.113413610798624,Blackwhole
53.227185603380896,Surfae
41.727690564476774,Surfae
55.193465142411725,Blackwhole
65.32738913002578,Sky
48.91239851543143,Surfae
54.01711722098941,Sky
56.90143991711113,Surfae
45.987795281141636,Blackwhole
52.24092481810417,Blackwhole
50.12592400781795,Surfae
50.97676098548832,Blackwhole
42.26990216144534,Surfae
50.245101742589426,Blackwhole
54.979982912454496,Sky
64.51143607795042,Blackwhole
59.59270826085207,Sky
71.53182457511556,Blackwhole
42.326524371119504,Sky
58.723206367206785,Blackwhole
51.83342005738352,Sky
71.89802933217672,Surfae
41.91701714644849,Surfae
41.60278157819224,Sky
44.00607354555978,Blackwhole
28.76104275690193,Sky
44.74244978319239,Blackwhole
42.40867338446302,Surfae
51.50393786476208,Blackwhole
53.41755975777159,Surfae
68.76170839215887,Blackwhole
59.5042383818605,Blackwhole
44.23096344337597,Blackwhole
41.01585328651642,Sky
54.919191715065054,Sky
36.797667929793576,Surfae
68.31458765854353,Surfae
61.79440120721287,Sky
45.30824347895295,Surfae
32.86865470909122,Sky
63.53872374165413,Blackwhole
48.85460154747382,Surfae
62.378163119734616,Surfae
34.05572341205633,Sky
44.00624977046227,Surfae
50.05243699718183,Surfae
50.46980593764742,Blackwhole
45.49934528520756,Surfae
56.228499323474985,Blackwhole
39.32379570617405,Sky
48.576205149787064,Surfae
51.20295631711899,Blackwhole
55.14438834058749,Sky
57.11614878088889,Surfae
38.75357908162131,Sky
34.65885829264378,Surfae
62.77676821898509,Sky
53.323140119795916,Sky
42.51513463443446,Blackwhole
65.51151975522522,Sky
51.156746342928585,Surfae
61.792971840638266,Surfae
50.67518481410109,Blackwhole
70.60747924881987,Surfae
67.55340842443205,Surfae
47.51035851520926,Surfae
59.71570950954355,Sky
56.45375949585148,Sky
63.68631557532348,Surfae
40.35076539419896,Blackwhole
56.86051459998439,Sky
60.58424486849588,Blackwhole
32.41260513576886,Surfae
38.16741487334225,Surfae
29.607678222398995,Sky
47.305931655554424,Surfae
57.17542255795962,Sky
65.02357052096028,Surfae
50.74094780419775,Surfae
66.28615545571292,Sky
36.198985417851084,Sky
32.96617560644845,Sky
49.44452301103381,Surfae
53.840654489393074,Surfae
49.67305251905907,Blackwhole
29.325578999601234,Sky
49.10879960487212,Surfae
36.95530499495147,Surfae
56.69672548830039,Sky
53.665982460968486,Blackwhole
40.60120213672645,Sky
44.861330826633065,Blackwhole
39.40786478111048,Surfae
49.37320902726828,Blackwhole
59.551423205012384,Surfae
40.14273953664456,Sky
55.040465155178445,Sky
44.697423816275595,Sky
42.07127167737656,Blackwhole
48.929696400454425,Surfae
39.64757677580626,Sky
44.46350694652818,Sky
38.021221074111516,Surfae
69.6472513291639,Sky
50.35263551971729,Surfae
43.00274492007414,Surfae
52.13979910734222,Surfae
48.87671950309171,Surfae
47.790304004667775,Surfae
56.14166700043425,Blackwhole
57.57507710047305,Sky
44.69498852389472,Blackwhole
44.2418175935532,Sky
47.24948302848356,Blackwhole
26.98078835264415,Surfae
34.84808937801448,Sky
63.66874267444524,Sky
66.44967713501283,Blackwhole
47.50963960443622,Blackwhole
55.765569630557664,Sky
53.112501545435364,Blackwhole
80.78880808455237,Blackwhole
61.195749114345766,Blackwhole
48.72082408519233,Surfae
40.44459559399574,Surfae
33.93553679742428,Blackwhole
52.03463635867223,Blackwhole
42.436492547156966,Surfae
35.77746290402326,Surfae
43.534271157574736,Sky
39.18451996385605,Sky
66.87141635072565,Surfae
58.816397569494505,Blackwhole
49.92027358683383,Blackwhole
64.79944138890026,Blackwhole
50.77368307647618,Blackwhole
41.38715798671736,Sky
65.23124077269657,Surfae
55.38910043684659,Blackwhole
39.62753845673544,Sky
48.09661321916392,Blackwhole
41.24381746615243,Surfae
36.172002690356635,Sky
