Order_ID,Date,Product,Category,Subcategory,Quantity,Price_Per_Unit,Region,Total_Sales,Month,Full_Category
26,2026-05-06,Sneakers,Clothing,Jeans,1,801.87,South,801.87,May,Clothing -> Jeans
27,2026-01-22,Jeans,Clothing,T-Shirt,1,820.61,Central,820.61,Jan,Clothing -> T-Shirt
28,2025-11-27,Laptop,Electronics,Laptop,1,152.53,East,152.53,Nov,Electronics -> Laptop
29,2025-12-17,Vacuum Cleaner,Home Appliances,Coffee Maker,36,766.41,South,27590.76,Dec,Home Appliances -> Coffee Maker
30,2026-02-08,Smartwatch,Electronics,Smartphone,1,30.83,West,30.83,Feb,Electronics -> Smartphone
31,2026-01-08,T-Shirt,Clothing,Jeans,1,954.31,West,954.31,Jan,Clothing -> Jeans
32,2026-04-07,Jacket,Clothing,Jacket,1,208.47,East,208.47,Apr,Clothing -> Jacket
33,2026-04-25,T-Shirt,Clothing,Sneakers,31,239.98,North,7439.38,Apr,Clothing -> Sneakers
34,2026-07-31,Smartphone,Electronics,Laptop,1,952.63,South,952.63,Jul,Electronics -> Laptop
35,2026-03-14,Microwave,Home Appliances,Coffee Maker,1,120.64,East,120.64,Mar,Home Appliances -> Coffee Maker
36,2025-10-08,Smartwatch,Electronics,Headphones,1,253.01,South,253.01,Oct,Electronics -> Headphones
37,2026-06-29,Sneakers,Clothing,Sneakers,1,600.82,South,600.82,Jun,Clothing -> Sneakers
38,2025-11-12,Jacket,Clothing,T-Shirt,27,649.35,Central,17532.45,Nov,Clothing -> T-Shirt
39,2025-12-29,Smartphone,Electronics,Smartphone,16,505.5,North,8088.0,Dec,Electronics -> Smartphone
40,2025-11-13,Smartphone,Electronics,Laptop,1,940.15,North,940.15,Nov,Electronics -> Laptop
41,2026-06-02,Air Purifier,Home Appliances,Air Purifier,1,520.43,North,520.43,Jun,Home Appliances -> Air Purifier
42,2026-06-03,Air Purifier,Home Appliances,Air Purifier,29,698.99,North,20270.71,Jun,Home Appliances -> Air Purifier
43,2026-05-25,Smartwatch,Electronics,Headphones,1,805.3,West,805.3,May,Electronics -> Headphones
44,2025-10-27,Coffee Maker,Home Appliances,Vacuum Cleaner,1,143.94,South,143.94,Oct,Home Appliances -> Vacuum Cleaner
45,2025-09-18,Jeans,Clothing,Jacket,2,941.25,East,1882.5,Sep,Clothing -> Jacket
46,2025-10-13,Vacuum Cleaner,Home Appliances,Coffee Maker,1,442.82,South,442.82,Oct,Home Appliances -> Coffee Maker
47,2025-09-24,Smartwatch,Electronics,Headphones,48,753.7,South,36177.600000000006,Sep,Electronics -> Headphones
48,2025-11-08,Sneakers,Clothing,T-Shirt,1,88.55,West,88.55,Nov,Clothing -> T-Shirt
49,2025-11-15,Laptop,Electronics,Headphones,23,559.36,East,12865.28,Nov,Electronics -> Headphones
50,2026-05-14,Smartwatch,Electronics,Smartwatch,1,274.46,South,274.46,May,Electronics -> Smartwatch
51,2025-09-28,Coffee Maker,Home Appliances,Coffee Maker,2,766.52,North,1533.04,Sep,Home Appliances -> Coffee Maker
52,2026-03-25,Air Purifier,Home Appliances,Coffee Maker,1,244.08,South,244.08,Mar,Home Appliances -> Coffee Maker
53,2026-04-28,Smartphone,Electronics,Laptop,36,506.37,West,18229.32,Apr,Electronics -> Laptop
54,2025-11-03,T-Shirt,Clothing,Jeans,1,304.72,West,304.72,Nov,Clothing -> Jeans
55,2025-12-18,Jacket,Clothing,Jeans,1,392.89,West,392.89,Dec,Clothing -> Jeans
56,2026-05-04,Smartphone,Electronics,Laptop,45,547.85,East,24653.25,May,Electronics -> Laptop
57,2025-11-24,Jacket,Clothing,Jacket,1,561.64,Central,561.64,Nov,Clothing -> Jacket
58,2026-03-07,Coffee Maker,Home Appliances,Air Purifier,30,301.55,West,9046.5,Mar,Home Appliances -> Air Purifier
59,2026-01-22,Headphones,Electronics,Smartwatch,1,791.43,Central,791.43,Jan,Electronics -> Smartwatch
60,2026-08-07,Vacuum Cleaner,Home Appliances,Coffee Maker,24,123.57,East,2965.68,Aug,Home Appliances -> Coffee Maker
61,2025-10-23,Smartphone,Electronics,Smartphone,28,134.33,West,3761.2400000000002,Oct,Electronics -> Smartphone
62,2025-12-16,Jeans,Clothing,Jacket,1,38.82,Central,38.82,Dec,Clothing -> Jacket
63,2025-11-05,Laptop,Electronics,Laptop,1,981.66,Central,981.66,Nov,Electronics -> Laptop
64,2025-10-10,Jacket,Clothing,T-Shirt,38,29.95,East,1138.1,Oct,Clothing -> T-Shirt
65,2026-07-28,Headphones,Electronics,Smartwatch,1,274.79,Central,274.79,Jul,Electronics -> Smartwatch
66,2026-08-17,Coffee Maker,Home Appliances,Microwave,6,161.02,North,966.1200000000001,Aug,Home Appliances -> Microwave
67,2026-01-18,Smartphone,Electronics,Laptop,1,686.36,West,686.36,Jan,Electronics -> Laptop
68,2026-03-19,Air Purifier,Home Appliances,Air Purifier,42,545.68,North,22918.559999999998,Mar,Home Appliances -> Air Purifier
69,2026-07-28,Laptop,Electronics,Headphones,10,211.16,South,2111.6,Jul,Electronics -> Headphones
70,2026-06-07,Air Purifier,Home Appliances,Air Purifier,1,115.89,South,115.89,Jun,Home Appliances -> Air Purifier
71,2026-05-29,Jeans,Clothing,T-Shirt,2,16.81,South,33.62,May,Clothing -> T-Shirt
72,2025-09-12,Smartwatch,Electronics,Smartwatch,1,865.57,West,865.57,Sep,Electronics -> Smartwatch
73,2026-07-04,Sneakers,Clothing,Jeans,3,987.04,East,2961.12,Jul,Clothing -> Jeans
74,2025-12-11,Laptop,Electronics,Smartwatch,31,440.55,Central,13657.050000000001,Dec,Electronics -> Smartwatch
75,2026-05-18,Coffee Maker,Home Appliances,Vacuum Cleaner,15,141.8,South,2127.0,May,Home Appliances -> Vacuum Cleaner
76,2026-07-04,Coffee Maker,Home Appliances,Coffee Maker,47,151.32,South,7112.04,Jul,Home Appliances -> Coffee Maker
77,2026-01-08,Microwave,Home Appliances,Vacuum Cleaner,1,194.02,East,194.02,Jan,Home Appliances -> Vacuum Cleaner
78,2025-10-10,Microwave,Home Appliances,Vacuum Cleaner,1,711.88,South,711.88,Oct,Home Appliances -> Vacuum Cleaner
79,2026-05-16,Coffee Maker,Home Appliances,Air Purifier,1,640.69,South,640.69,May,Home Appliances -> Air Purifier
80,2026-01-06,Coffee Maker,Home Appliances,Vacuum Cleaner,1,61.47,Central,61.47,Jan,Home Appliances -> Vacuum Cleaner
81,2026-08-09,Headphones,Electronics,Headphones,27,254.4,North,6868.8,Aug,Electronics -> Headphones
82,2026-03-26,Jacket,Clothing,T-Shirt,46,912.85,North,41991.1,Mar,Clothing -> T-Shirt
83,2025-11-27,Headphones,Electronics,Laptop,49,915.82,North,44875.18,Nov,Electronics -> Laptop
84,2025-09-10,Jeans,Clothing,Jeans,42,585.13,Central,24575.46,Sep,Clothing -> Jeans
85,2026-08-18,Smartphone,Electronics,Smartwatch,1,394.41,North,394.41,Aug,Electronics -> Smartwatch
86,2026-05-04,Jacket,Clothing,Jacket,20,49.17,Central,983.4000000000001,May,Clothing -> Jacket
87,2026-08-08,Jacket,Clothing,Sneakers,1,977.37,West,977.37,Aug,Clothing -> Sneakers
88,2025-09-25,Coffee Maker,Home Appliances,Coffee Maker,1,123.74,North,123.74,Sep,Home Appliances -> Coffee Maker
89,2026-04-17,Smartphone,Electronics,Smartwatch,1,521.09,Central,521.09,Apr,Electronics -> Smartwatch
90,2026-07-03,Microwave,Home Appliances,Microwave,44,802.55,East,35312.2,Jul,Home Appliances -> Microwave
91,2026-04-09,Microwave,Home Appliances,Microwave,1,805.4,South,805.4,Apr,Home Appliances -> Microwave
92,2026-06-21,Microwave,Home Appliances,Air Purifier,1,93.92,East,93.92,Jun,Home Appliances -> Air Purifier
93,2025-10-12,Coffee Maker,Home Appliances,Coffee Maker,10,479.64,East,4796.4,Oct,Home Appliances -> Coffee Maker
94,2026-05-28,Coffee Maker,Home Appliances,Microwave,1,946.15,North,946.15,May,Home Appliances -> Microwave
95,2026-08-25,T-Shirt,Clothing,T-Shirt,9,309.61,Central,2786.4900000000002,Aug,Clothing -> T-Shirt
96,2026-04-10,Jacket,Clothing,Sneakers,39,982.55,West,38319.45,Apr,Clothing -> Sneakers
97,2025-12-03,Headphones,Electronics,Headphones,1,53.81,East,53.81,Dec,Electronics -> Headphones
98,2026-03-09,Smartphone,Electronics,Smartwatch,1,803.79,Central,803.79,Mar,Electronics -> Smartwatch
99,2026-02-27,Vacuum Cleaner,Home Appliances,Vacuum Cleaner,1,942.95,South,942.95,Feb,Home Appliances -> Vacuum Cleaner
100,2025-10-25,Air Purifier,Home Appliances,Air Purifier,6,212.32,North,1273.92,Oct,Home Appliances -> Air Purifier
